,experiment,event,duration,global
203,cpu-static,wfmanager_update_jobs_49,0.4256250858306885,wfmanager_update_jobs
204,cpu-static,wfmanager_add_new_patches_mlserver_50,0.17235612869262695,wfmanager_add_new_patches_mlserver
205,cpu-static,wfmanager_add_new_patches_to_ml_50,1.621246337890625e-05,wfmanager_add_new_patches_to_ml
206,cpu-static,wfmanager_add_cgframes_to_ml_50,1.5974044799804688e-05,wfmanager_add_cgframes_to_ml
207,cpu-static,wfmanager_update_jobs_50,0.49022579193115234,wfmanager_update_jobs
208,cpu-static,wfmanager_add_new_patches_mlserver_51,0.1663045883178711,wfmanager_add_new_patches_mlserver
209,cpu-static,wfmanager_add_new_patches_to_ml_51,1.33514404296875e-05,wfmanager_add_new_patches_to_ml
210,cpu-static,wfmanager_add_cgframes_to_ml_51,1.5974044799804688e-05,wfmanager_add_cgframes_to_ml
211,cpu-static,wfmanager_update_jobs_51,0.6715970039367676,wfmanager_update_jobs
212,cpu-static,wfmanager_add_new_patches_mlserver_52,0.11344027519226074,wfmanager_add_new_patches_mlserver
213,cpu-static,wfmanager_add_new_patches_to_ml_52,1.4066696166992188e-05,wfmanager_add_new_patches_to_ml
214,cpu-static,wfmanager_add_cgframes_to_ml_52,4.291534423828125e-05,wfmanager_add_cgframes_to_ml
215,cpu-static,wfmanager_update_jobs_52,0.5474975109100342,wfmanager_update_jobs
216,cpu-static,wfmanager_add_new_patches_mlserver_53,0.12043094635009766,wfmanager_add_new_patches_mlserver
217,cpu-static,wfmanager_add_new_patches_to_ml_53,1.71661376953125e-05,wfmanager_add_new_patches_to_ml
218,cpu-static,wfmanager_add_cgframes_to_ml_53,1.71661376953125e-05,wfmanager_add_cgframes_to_ml
219,cpu-static,wfmanager_update_jobs_53,0.5604071617126465,wfmanager_update_jobs
220,cpu-static,wfmanager_add_new_patches_mlserver_54,0.1186068058013916,wfmanager_add_new_patches_mlserver
221,cpu-static,wfmanager_add_new_patches_to_ml_54,1.4066696166992188e-05,wfmanager_add_new_patches_to_ml
222,cpu-static,wfmanager_add_cgframes_to_ml_54,1.8835067749023438e-05,wfmanager_add_cgframes_to_ml
223,cpu-static,wfmanager_update_jobs_54,0.430173397064209,wfmanager_update_jobs
224,cpu-static,wfmanager_add_new_patches_mlserver_55,0.11772704124450684,wfmanager_add_new_patches_mlserver
225,cpu-static,wfmanager_add_new_patches_to_ml_55,1.2159347534179688e-05,wfmanager_add_new_patches_to_ml
226,cpu-static,wfmanager_add_cgframes_to_ml_55,4.172325134277344e-05,wfmanager_add_cgframes_to_ml
227,cpu-static,wfmanager_update_jobs_55,0.44020771980285645,wfmanager_update_jobs
228,cpu-static,wfmanager_add_new_patches_mlserver_56,0.09390592575073242,wfmanager_add_new_patches_mlserver
229,cpu-static,wfmanager_add_new_patches_to_ml_56,1.430511474609375e-05,wfmanager_add_new_patches_to_ml
230,cpu-static,wfmanager_add_cgframes_to_ml_56,2.1219253540039062e-05,wfmanager_add_cgframes_to_ml
231,cpu-static,wfmanager_update_jobs_56,0.470001220703125,wfmanager_update_jobs
232,cpu-static,wfmanager_add_new_patches_mlserver_57,0.14710497856140137,wfmanager_add_new_patches_mlserver
233,cpu-static,wfmanager_add_new_patches_to_ml_57,1.6450881958007812e-05,wfmanager_add_new_patches_to_ml
234,cpu-static,wfmanager_add_cgframes_to_ml_57,1.71661376953125e-05,wfmanager_add_cgframes_to_ml
235,cpu-static,wfmanager_update_jobs_57,0.6150345802307129,wfmanager_update_jobs
