,experiment,job,sample,event,duration,global
127,gpu-static,createsim,structure_065061590,createsims_gromacs_make_ndx_0,0.5153884887695312,createsims_gromacs_make_ndx
128,gpu-static,createsim,structure_065061590,createsims_generate_velocities_0,47.93350958824158,createsims_generate_velocities
129,gpu-static,createsim,structure_065061590,createsims_short_equilibration_0,108.94469118118286,createsims_short_equilibration
130,gpu-static,createsim,structure_065061590,createsims_pull_molecules_0,432.5498278141022,createsims_pull_molecules
131,gpu-static,createsim,structure_065061590,createsims_relax_protein,36.25817108154297,createsims_relax_protein
132,gpu-static,createsim,structure_065061590,createsims_short_equilibration_20fs,108.58998656272888,createsims_short_equilibration
133,gpu-static,createsim,structure_065061590,createsims_prime_cg_sim,1.5715811252593994,createsims_prime_cg_sim
134,gpu-static,createsim,structure_084230035,createsim_runtime,725.3156127929688,createsim_runtime
135,gpu-static,createsim,structure_084230035,createsims_create_cg_patch,0.0012359619140625,createsims_create_cg_patch
136,gpu-static,createsim,structure_084230035,createsims_setup_cg_sim,723.7357454299927,createsims_setup_cg_sim
137,gpu-static,createsim,structure_084230035,createsims_gromacs_energy_minimization_0,1.1796698570251465,createsims_gromacs_energy_minimization
138,gpu-static,createsim,structure_084230035,createsims_mdrun_lipids_water_0,2.6314733028411865,createsims_mdrun_lipids_water
139,gpu-static,createsim,structure_084230035,createsims_trjconv_lipids_water_0,0.2771596908569336,createsims_trjconv_lipids_water
140,gpu-static,createsim,structure_084230035,createsims_gromacs_make_ndx_0,0.5109596252441406,createsims_gromacs_make_ndx
141,gpu-static,createsim,structure_084230035,createsims_generate_velocities_0,46.59952116012573,createsims_generate_velocities
142,gpu-static,createsim,structure_084230035,createsims_short_equilibration_0,105.40358424186707,createsims_short_equilibration
143,gpu-static,createsim,structure_084230035,createsims_pull_molecules_0,421.0446186065674,createsims_pull_molecules
144,gpu-static,createsim,structure_084230035,createsims_relax_protein,35.24485182762146,createsims_relax_protein
145,gpu-static,createsim,structure_084230035,createsims_short_equilibration_20fs,107.9585611820221,createsims_short_equilibration
146,gpu-static,createsim,structure_084230035,createsims_prime_cg_sim,1.5606205463409424,createsims_prime_cg_sim
147,gpu-static,createsim,structure_022731889,createsim_runtime,742.2289755344391,createsim_runtime
148,gpu-static,createsim,structure_022731889,createsims_create_cg_patch,0.00135040283203125,createsims_create_cg_patch
149,gpu-static,createsim,structure_022731889,createsims_setup_cg_sim,740.5714209079742,createsims_setup_cg_sim
150,gpu-static,createsim,structure_022731889,createsims_gromacs_energy_minimization_0,1.2154593467712402,createsims_gromacs_energy_minimization
151,gpu-static,createsim,structure_022731889,createsims_mdrun_lipids_water_0,2.6704657077789307,createsims_mdrun_lipids_water
152,gpu-static,createsim,structure_022731889,createsims_trjconv_lipids_water_0,0.2832798957824707,createsims_trjconv_lipids_water
153,gpu-static,createsim,structure_022731889,createsims_gromacs_make_ndx_0,0.5174691677093506,createsims_gromacs_make_ndx
154,gpu-static,createsim,structure_022731889,createsims_generate_velocities_0,48.398001194000244,createsims_generate_velocities
155,gpu-static,createsim,structure_022731889,createsims_short_equilibration_0,108.44789743423462,createsims_short_equilibration
156,gpu-static,createsim,structure_022731889,createsims_pull_molecules_0,433.0381588935852,createsims_pull_molecules
157,gpu-static,createsim,structure_022731889,createsims_relax_protein,35.351701974868774,createsims_relax_protein
158,gpu-static,createsim,structure_022731889,createsims_short_equilibration_20fs,107.70891237258911,createsims_short_equilibration
159,gpu-static,createsim,structure_022731889,createsims_prime_cg_sim,1.637859582901001,createsims_prime_cg_sim
160,gpu-static,createsim,structure_065793096,createsim_runtime,728.2363657951355,createsim_runtime
161,gpu-static,createsim,structure_065793096,createsims_create_cg_patch,0.0012845993041992188,createsims_create_cg_patch
162,gpu-static,createsim,structure_065793096,createsims_setup_cg_sim,726.6204161643982,createsims_setup_cg_sim
163,gpu-static,createsim,structure_065793096,createsims_gromacs_energy_minimization_0,1.1765422821044922,createsims_gromacs_energy_minimization
164,gpu-static,createsim,structure_065793096,createsims_mdrun_lipids_water_0,2.6471009254455566,createsims_mdrun_lipids_water
165,gpu-static,createsim,structure_065793096,createsims_trjconv_lipids_water_0,0.2840452194213867,createsims_trjconv_lipids_water
166,gpu-static,createsim,structure_065793096,createsims_gromacs_make_ndx_0,0.5244894027709961,createsims_gromacs_make_ndx
167,gpu-static,createsim,structure_065793096,createsims_generate_velocities_0,46.90344762802124,createsims_generate_velocities
168,gpu-static,createsim,structure_065793096,createsims_short_equilibration_0,106.11695122718811,createsims_short_equilibration
169,gpu-static,createsim,structure_065793096,createsims_pull_molecules_0,423.70619678497314,createsims_pull_molecules
170,gpu-static,createsim,structure_065793096,createsims_relax_protein,35.447627782821655,createsims_relax_protein
171,gpu-static,createsim,structure_065793096,createsims_short_equilibration_20fs,106.8627941608429,createsims_short_equilibration
172,gpu-static,createsim,structure_065793096,createsims_prime_cg_sim,1.5967068672180176,createsims_prime_cg_sim
173,gpu-static,createsim,structure_059674938,createsim_runtime,729.0633728504181,createsim_runtime
174,gpu-static,createsim,structure_059674938,createsims_create_cg_patch,0.0013513565063476562,createsims_create_cg_patch
175,gpu-static,createsim,structure_059674938,createsims_setup_cg_sim,727.4516408443451,createsims_setup_cg_sim
176,gpu-static,createsim,structure_059674938,createsims_gromacs_energy_minimization_0,1.1955761909484863,createsims_gromacs_energy_minimization
177,gpu-static,createsim,structure_059674938,createsims_mdrun_lipids_water_0,2.9218661785125732,createsims_mdrun_lipids_water
178,gpu-static,createsim,structure_059674938,createsims_trjconv_lipids_water_0,0.27666807174682617,createsims_trjconv_lipids_water
179,gpu-static,createsim,structure_059674938,createsims_gromacs_make_ndx_0,0.5045723915100098,createsims_gromacs_make_ndx
180,gpu-static,createsim,structure_059674938,createsims_generate_velocities_0,46.47782015800476,createsims_generate_velocities
181,gpu-static,createsim,structure_059674938,createsims_short_equilibration_0,105.76565933227539,createsims_short_equilibration
182,gpu-static,createsim,structure_059674938,createsims_pull_molecules_0,424.5847797393799,createsims_pull_molecules
183,gpu-static,createsim,structure_059674938,createsims_relax_protein,35.27938437461853,createsims_relax_protein
184,gpu-static,createsim,structure_059674938,createsims_short_equilibration_20fs,107.51361966133118,createsims_short_equilibration
185,gpu-static,createsim,structure_059674938,createsims_prime_cg_sim,1.5920257568359375,createsims_prime_cg_sim
186,gpu-static,cganalysis,structure_042980663,cganalysis_run,1784.9242196083069,cganalysis_run
187,gpu-static,cganalysis,structure_042980663,cganalysis_load_mdanalysis,0.7672991752624512,cganalysis_load_mdanalysis
188,gpu-static,cganalysis,structure_042980663,cganalysis_run_simulation,5.012214183807373,cganalysis_run_simulation
189,gpu-static,cganalysis,structure_042980663,cganalysis_simrun,5.012078285217285,cganalysis_simrun
190,gpu-static,cganalysis,structure_042980663,cganalysis_main_analysis,1779.0630917549133,cganalysis_main_analysis
191,gpu-static,cganalysis,structure_065061590,cganalysis_run,1784.54456615448,cganalysis_run
192,gpu-static,cganalysis,structure_065061590,cganalysis_load_mdanalysis,0.7637143135070801,cganalysis_load_mdanalysis
193,gpu-static,cganalysis,structure_065061590,cganalysis_run_simulation,5.012291669845581,cganalysis_run_simulation
194,gpu-static,cganalysis,structure_065061590,cganalysis_simrun,5.012144565582275,cganalysis_simrun
195,gpu-static,cganalysis,structure_065061590,cganalysis_main_analysis,1778.6833794116974,cganalysis_main_analysis
196,gpu-static,cganalysis,structure_084230035,cganalysis_run,1784.5674748420715,cganalysis_run
197,gpu-static,cganalysis,structure_084230035,cganalysis_load_mdanalysis,0.7743873596191406,cganalysis_load_mdanalysis
198,gpu-static,cganalysis,structure_084230035,cganalysis_run_simulation,5.011152029037476,cganalysis_run_simulation
199,gpu-static,cganalysis,structure_084230035,cganalysis_simrun,5.011027574539185,cganalysis_simrun
200,gpu-static,cganalysis,structure_084230035,cganalysis_main_analysis,1778.699069738388,cganalysis_main_analysis
201,gpu-static,cganalysis,structure_022731889,cganalysis_run,1784.9127306938171,cganalysis_run
202,gpu-static,cganalysis,structure_022731889,cganalysis_load_mdanalysis,0.7727644443511963,cganalysis_load_mdanalysis
203,gpu-static,cganalysis,structure_022731889,cganalysis_run_simulation,5.01050066947937,cganalysis_run_simulation
204,gpu-static,cganalysis,structure_022731889,cganalysis_simrun,5.010371685028076,cganalysis_simrun
205,gpu-static,cganalysis,structure_022731889,cganalysis_main_analysis,1779.0458624362946,cganalysis_main_analysis
206,gpu-static,cganalysis,structure_065793096,cganalysis_run,1784.6729147434235,cganalysis_run
207,gpu-static,cganalysis,structure_065793096,cganalysis_load_mdanalysis,0.766608476638794,cganalysis_load_mdanalysis
208,gpu-static,cganalysis,structure_065793096,cganalysis_run_simulation,5.012556552886963,cganalysis_run_simulation
209,gpu-static,cganalysis,structure_065793096,cganalysis_simrun,5.0124170780181885,cganalysis_simrun
210,gpu-static,cganalysis,structure_065793096,cganalysis_main_analysis,1778.810702085495,cganalysis_main_analysis
211,gpu-static,cganalysis,structure_059674938,cganalysis_run,1784.3269472122192,cganalysis_run
212,gpu-static,cganalysis,structure_059674938,cganalysis_load_mdanalysis,0.7689228057861328,cganalysis_load_mdanalysis
213,gpu-static,cganalysis,structure_059674938,cganalysis_run_simulation,5.010356664657593,cganalysis_run_simulation
214,gpu-static,cganalysis,structure_059674938,cganalysis_simrun,5.010215759277344,cganalysis_simrun
215,gpu-static,cganalysis,structure_059674938,cganalysis_main_analysis,1778.4635729789734,cganalysis_main_analysis
