,name,kind,job,event,duration,container,experiment,iteration
89,event-exporter-c7548569-8kgmt,Pod,,pulling-timestamp,1741903263.0,ghcr.io/resmoio/kubernetes-event-exporter:latest,cpu-static,0
90,event-exporter-c7548569-8kgmt,Pod,,scheduled-timestamp,1741903262.0,ghcr.io/resmoio/kubernetes-event-exporter:latest,cpu-static,0
91,event-exporter-c7548569-8kgmt,Pod,,created-timestamp,1741903264.0,ghcr.io/resmoio/kubernetes-event-exporter:latest,cpu-static,0
92,event-exporter-c7548569-8kgmt,Pod,,created,0,ghcr.io/resmoio/kubernetes-event-exporter:latest,cpu-static,0
93,event-exporter-c7548569-8kgmt,Pod,,started-timestamp,1741903264.0,ghcr.io/resmoio/kubernetes-event-exporter:latest,cpu-static,0
94,event-exporter-c7548569-8kgmt,Pod,,started,0,ghcr.io/resmoio/kubernetes-event-exporter:latest,cpu-static,0
95,event-exporter-c7548569-8kgmt,Pod,,pulled,1.339291085,ghcr.io/resmoio/kubernetes-event-exporter:latest,cpu-static,0
96,state-machine-operator-controller-manager-668cf7768b-wz5x4,Pod,,pulled-timestamp,1741903392.0,ghcr.io/converged-computing/state-machine-operator:test,cpu-static,0
97,state-machine-operator-controller-manager-668cf7768b-wz5x4,Pod,,pulling-timestamp,1741903341.0,ghcr.io/converged-computing/state-machine-operator:test,cpu-static,0
98,state-machine-operator-controller-manager-668cf7768b-wz5x4,Pod,,scheduled-timestamp,1741903341.0,ghcr.io/converged-computing/state-machine-operator:test,cpu-static,0
99,state-machine-operator-controller-manager-668cf7768b-wz5x4,Pod,,created-timestamp,1741903343.0,ghcr.io/converged-computing/state-machine-operator:test,cpu-static,0
100,state-machine-operator-controller-manager-668cf7768b-wz5x4,Pod,,created,86351,ghcr.io/converged-computing/state-machine-operator:test,cpu-static,0
101,state-machine-operator-controller-manager-668cf7768b-wz5x4,Pod,,started-timestamp,1741903343.0,ghcr.io/converged-computing/state-machine-operator:test,cpu-static,0
102,state-machine-operator-controller-manager-668cf7768b-wz5x4,Pod,,started,0,ghcr.io/converged-computing/state-machine-operator:test,cpu-static,0
103,state-machine-operator-controller-manager-668cf7768b-wz5x4,Pod,,pulled,0.183642052,ghcr.io/converged-computing/state-machine-operator:test,cpu-static,0
104,state-machine-operator-controller-manager-fb4cc455c-qf6fs,Pod,,pulled-timestamp,1741903457.0,ghcr.io/converged-computing/state-machine-operator:test,cpu-static,0
105,state-machine-operator-controller-manager-fb4cc455c-qf6fs,Pod,,pulling-timestamp,1741903456.0,ghcr.io/converged-computing/state-machine-operator:test,cpu-static,0
106,state-machine-operator-controller-manager-fb4cc455c-qf6fs,Pod,,scheduled-timestamp,1741903456.0,ghcr.io/converged-computing/state-machine-operator:test,cpu-static,0
107,state-machine-operator-controller-manager-fb4cc455c-qf6fs,Pod,,created-timestamp,1741903457.0,ghcr.io/converged-computing/state-machine-operator:test,cpu-static,0
108,state-machine-operator-controller-manager-fb4cc455c-qf6fs,Pod,,created,0,ghcr.io/converged-computing/state-machine-operator:test,cpu-static,0
109,state-machine-operator-controller-manager-fb4cc455c-qf6fs,Pod,,started-timestamp,1741903457.0,ghcr.io/converged-computing/state-machine-operator:test,cpu-static,0
110,state-machine-operator-controller-manager-fb4cc455c-qf6fs,Pod,,started,0,ghcr.io/converged-computing/state-machine-operator:test,cpu-static,0
111,state-machine-operator-controller-manager-fb4cc455c-qf6fs,Pod,,pulled,1.260999108,ghcr.io/converged-computing/state-machine-operator:test,cpu-static,0
112,registry-0,Pod,,pulled-timestamp,1741903483.0,ghcr.io/oras-project/registry:latest,cpu-static,0
113,registry-0,Pod,,pulling-timestamp,1741903483.0,ghcr.io/oras-project/registry:latest,cpu-static,0
114,registry-0,Pod,,scheduled-timestamp,1741903482.0,ghcr.io/oras-project/registry:latest,cpu-static,0
115,registry-0,Pod,,created-timestamp,1741903483.0,ghcr.io/oras-project/registry:latest,cpu-static,0
116,registry-0,Pod,,created,0,ghcr.io/oras-project/registry:latest,cpu-static,0
117,registry-0,Pod,,started-timestamp,1741903483.0,ghcr.io/oras-project/registry:latest,cpu-static,0
118,registry-0,Pod,,started,0,ghcr.io/oras-project/registry:latest,cpu-static,0
119,registry-0,Pod,,pulled,0.697970147,ghcr.io/oras-project/registry:latest,cpu-static,0
120,mummi-manager-55b864fb8f-lg425,Pod,,pulled-timestamp,1741903491.0,ghcr.io/converged-computing/state-machine-operator:manager,cpu-static,0
121,mummi-manager-55b864fb8f-lg425,Pod,,pulling-timestamp,1741903483.0,ghcr.io/converged-computing/state-machine-operator:manager,cpu-static,0
122,mummi-manager-55b864fb8f-lg425,Pod,,scheduled-timestamp,1741903482.0,ghcr.io/converged-computing/state-machine-operator:manager,cpu-static,0
